player_name,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Brandon Bass,2015.5,3121.25,1551,-0.92006022,-1.211978084,-2.132038305,-1.317298377,-2.564059572,-3.881357949,-1.055466648,-1.555033391,-2.610500039,0.123841986,0.178895582,-0.055053595,-1.582940995,-2.05918733,-3.642128325,-0.67606988
Brandon Boston Jr.,2022,22,9,-5.216776378,-6.702997572,-11.91977395,-17.66846653,1.945948832,-15.7225177,-6.264530872,-6.33413462,-12.59866549,-0.046047391,-0.046047391,0,-6.201825429,-6.722378475,-12.9242039,1.857104359
Brandon Clarke,2021,2013.666667,930.3333333,-1.553372167,-0.037465116,-1.590837282,0.171106042,0.726801587,0.897907628,-1.507595506,-0.006905983,-1.514501489,1.528525331,1.514397653,0.014127678,-0.63682236,-0.335528793,-0.972351153,-0.459457866
Brandon Davies,2014.5,1040.5,499,-2.799068608,-0.606263206,-3.405331814,-1.345168648,-1.751584449,-3.096753097,-2.581668827,-0.845080003,-3.426748829,-0.146648342,-0.146648342,0,-2.91139661,-0.874528751,-3.78592536,1.073812238
Brandon Goodwin,2020,780,369,-1.847247615,-2.568249401,-4.415497016,-3.558839487,2.530179276,-1.028660211,-2.311316852,-1.635338073,-3.946654926,-0.189073164,-0.189073164,0,-1.989941454,-2.868340177,-4.858281632,-0.761185754
Brandon Ingram,2019.5,3695.166667,1738.833333,-0.194220086,-1.9226994,-2.116919486,-0.634954901,-0.680803984,-1.315758884,-0.21533569,-1.82679578,-2.042131469,1.030666204,1.030666204,0,-0.035638985,-1.719931802,-1.755570787,-0.00414065
Brandon Jennings,2016,2840.6,1391.8,0.906049754,-0.818397216,0.087652538,-1.414016838,-0.948582375,-2.362599213,0.484743608,-0.872076754,-0.387333146,1.707565381,1.910290074,-0.202724693,0.49122333,-1.533797962,-1.042574632,0.139803501
Brandon Knight,2016.833333,2935.666667,1440.5,-0.691778017,-1.848581354,-2.540359371,-1.457699877,-1.971277277,-3.428977155,-0.833894626,-1.95096864,-2.784863266,0.613642389,0.613642389,0,-0.557533992,-1.954472851,-2.512006842,0.271584353
Brandon Paul,2018,1215,579,-2.487481727,1.746629508,-0.740852219,-4.979443045,2.657583982,-2.321859063,-3.156087902,1.998525366,-1.157562536,0.470718869,0.45206901,0.018649859,-3.019187886,1.270292779,-1.748895107,0.809532209
Brandon Rush,2015.5,1486,722.75,-3.244071574,-3.483843473,-6.727915048,-4.016540681,-3.842907355,-7.859448036,-3.60131215,-3.789551823,-7.390863974,-0.955978272,-0.956761526,0.000783254,-3.477292827,-3.751497354,-7.228790181,-0.194195498
Brandon Sampson,2019,444,214,-4.398776173,-4.513896278,-8.912672451,1.648806124,-4.053256751,-2.404450627,-3.323893552,-4.631991158,-7.95588471,-0.567998685,-0.567998685,0,-3.569245909,-4.50448961,-8.073735519,-0.07071341
Brendan Haywood,2015,247,121,-6.641992901,2.103354634,-4.538638267,-9.900762886,-1.705150723,-11.60591361,-7.838080128,1.39692336,-6.441156768,-0.226475516,-0.205831514,-0.020644002,-6.258962441,0.151347373,-6.107615068,0.758975876
Brian Bowen II,2020.5,47.5,23,-4.642782266,-4.205701403,-8.84848367,-6.676849738,7.838735515,1.161885781,-5.326104419,-1.934109563,-7.260213981,-0.036767056,-0.036767056,0,-4.447835549,-4.392864902,-8.840700449,-0.346609822
Brian Roberts,2015.5,1940,979.75,-0.956412672,-1.062674705,-2.019087377,-3.079387629,-0.164577419,-3.243965048,-1.45102941,-0.937598946,-2.388628356,0.49538233,0.52611837,-0.03073604,-1.327586565,-1.780382797,-3.107969362,-1.012586765
Briante Weber,2017,415.6666667,205.6666667,-2.723701905,-1.113547595,-3.8372495,-3.613187749,-7.641719851,-11.2549076,-3.088638495,-2.536803168,-5.625441663,-0.306273375,-0.333384608,0.027111233,-2.687154447,-0.74257969,-3.429734138,-0.760746281
Brice Johnson,2017.5,118.5,53.5,-6.859953697,16.82016353,9.960209832,0.144741737,8.869514506,9.014256244,-5.847330133,16.16818571,10.32085557,0.139781395,0.139781395,0,-4.731174618,13.74164796,9.010473338,-1.406680019
Brodric Thomas,2021,838,399,-3.050198503,1.513815234,-1.536383269,-2.361436588,2.690213075,0.328776487,-3.019043039,1.90173281,-1.117310229,0.331102314,0.331102314,0,-3.613121721,0.61499006,-2.998131662,-0.120542035
Brook Lopez,2018,3918.111111,1864.777778,-0.656978477,3.045237037,2.388258561,1.303098983,-1.518234328,-0.215135346,-0.368354382,2.5486482,2.180293818,3.826192881,3.26565138,0.560541501,-0.175243554,2.295468102,2.120224547,-0.058789355
Bruce Brown,2020.5,2585.75,1252.75,-1.502627508,2.654223274,1.151595766,-1.82843791,1.977296742,0.148858831,-1.532271372,2.595560246,1.063288874,1.977431977,1.871815507,0.10561647,-1.878450142,2.884647198,1.006197056,-0.882781693
Bruno Caboclo,2018,392.2857143,185.7142857,-6.139387845,-0.88071406,-7.020101904,-8.032059044,2.803606235,-5.228452809,-6.934192175,-0.179949663,-7.114141839,0.072362656,0.072492611,-0.000129955,-5.954042206,-1.472265476,-7.42630768,0.733898348
Bruno Fernando,2021,685.6666667,317.3333333,-2.649142067,0.814295469,-1.834846598,-1.041655747,5.643794807,4.602139059,-2.778570634,1.529239523,-1.249331112,-0.367800803,-0.386392605,0.018591802,-1.92521017,-1.737832351,-3.66304252,-0.928860539
Bryce Cotton,2015.5,208,99,-5.151567834,-2.746755467,-7.898323301,-3.540430352,-7.352448684,-10.89287904,-5.076267004,-3.843098381,-8.919365384,-0.226332426,-0.226332426,0,-3.41620918,-3.631047213,-7.047256391,0.445515306
Bryce Dejean-Jones,2016,560,279,-2.842453227,-0.292430671,-3.134883898,-2.14331783,-2.340757943,-4.484075772,-2.857573943,-0.712378313,-3.569952256,-0.116591272,-0.116591272,0,-3.10630558,-0.696755387,-3.803060967,-0.105052011
Bryn Forbes,2019.5,2685.666667,1289.666667,-1.030264232,-3.450957459,-4.481221691,-2.960622513,-1.423021192,-4.383643704,-1.361552439,-3.315623081,-4.67717552,-0.172224935,-0.09354293,-0.078682005,-1.514752898,-3.40064302,-4.915395917,-0.659472842
Buddy Hield,2019.5,3980,1896,1.81601062,-0.688040464,1.127970156,0.437994502,-0.103313759,0.334680743,1.776317538,-0.639973942,1.136343596,2.92750186,2.92750186,0,2.052684148,-0.631589117,1.421095031,0.338555704
Byron Mullens,2014,863,414,-1.543497479,-6.687581113,-8.231078593,-1.799466827,-5.44033717,-7.239803997,-1.655961791,-6.811626261,-8.467588052,-1.236894763,-1.236894763,0,-0.499465128,-5.326164069,-5.825629196,0.789277074
C.J. Watson,2015.5,2342.5,1156.25,-0.87591207,-0.152984381,-1.028896451,-2.416199475,0.415747999,-2.000451476,-1.222918844,-0.05366296,-1.276581804,1.276005178,1.366261489,-0.090256311,-1.568313112,-0.14327378,-1.711586892,0.056095579
C.J. Williams,2018.5,873,417.5,-1.950294418,-0.403596167,-2.353890585,-4.384664533,-1.318176942,-5.702841473,-2.585607519,-0.577428832,-3.16303635,0.304743752,0.304743752,0,-2.529277281,-0.138694966,-2.667972247,-0.296049639
CJ Elleby,2021.5,251.5,113,-4.081559692,-3.139826034,-7.221385725,-9.07288765,4.288355472,-4.784532176,-4.939144093,-2.178526967,-7.117671059,-0.09058258,-0.061036367,-0.029546212,-2.248746965,-4.536652883,-6.785399848,2.251266143
CJ McCollum,2018,4300.777778,2079.666667,2.217001337,-0.289620204,1.927381133,2.468248434,-1.166417571,1.301830862,2.26916946,-0.281948834,1.987220626,5.21077107,4.594932824,0.615838246,2.408636597,-0.015083541,2.393553056,-0.03753908
